uid,score
1,0.549667199464
2,0.554211357804
9,0.458872783276
12,0.588469888626
14,0.513044412488
20,0.541670476259
25,0.638188952627
28,0.606264704701
30,0.505424775179
33,0.607566412993
35,0.498423541606
37,0.624282069203
43,0.629966121703
44,0.610019776832
45,0.60027764937
46,0.593184723521
52,0.371508945223
53,0.5625000822
55,0.34951881832
56,0.650618941195
57,0.561842944939
59,0.541079751367
60,0.53062848113
66,0.52049552022
74,0.342005371397
75,0.517617481514
83,0.588513469392
84,0.479818994626
87,0.63158918627
88,0.531778040728
95,0.395601572124
100,0.635885106639
101,0.531599582344
105,0.34827257873
111,0.626719174816
114,0.483196938277
116,0.499582149151
118,0.527321804182
119,0.561778899875
123,0.567880856656
129,0.622415859896
131,0.310585025613
132,0.396756514154
137,0.578835001085
143,0.569135627824
147,0.641184366846
148,0.478467031555
149,0.498630451092
156,0.453800245649
161,0.450653006747
162,0.462915078519
170,0.545046008912
179,0.671954190683
184,0.464056180154
187,0.483475146082
191,0.490043484655
198,0.553447278062
206,0.535194615936
212,0.435108196237
221,0.465587476168
222,0.627468339815
225,0.57498689936
226,0.515061673143
228,0.510312486601
232,0.546073545695
236,0.538247125235
237,0.638778526687
242,0.343439273129
247,0.603174035072
252,0.478599843861
253,0.55102151631
255,0.60555497107
258,0.524561117153
261,0.438748973989
264,0.605372152933
268,0.429187856712
275,0.641230014008
292,0.552286920803
293,0.624191450644
295,0.533966220313
305,0.574419189734
325,0.580066283141
328,0.574003776304
330,0.464732916644
334,0.553535851185
335,0.565581315061
350,0.604307563912
351,0.32155308655
354,0.573371513852
357,0.448553536107
360,0.640157744592
361,0.610500916612
365,0.367875661257
368,0.491309737171
369,0.508895991049
370,0.578295955622
374,0.379711157906
375,0.446381362436
377,0.601284861096
389,0.445828315397
390,0.490998625562
399,0.521250902138
401,0.521852073013
402,0.577684145887
403,0.532883106159
404,0.466086991334
405,0.487362432653
415,0.539717602238
416,0.386068458859
417,0.50506037305
425,0.589118155452
430,0.660930251695
436,0.563968786759
442,0.668295089686
445,0.566055021719
446,0.380235196388
447,0.549887655882
451,0.477159616722
459,0.556665184894
461,0.71578322952
462,0.531342095421
464,0.35758453578
465,0.519832757389
470,0.464801809346
471,0.343217102118
473,0.564492498602
481,0.516849634767
482,0.572671310135
487,0.602668005645
489,0.626029662842
524,0.628605006206
528,0.411991010597
535,0.367515630908
536,0.422462389928
545,0.615920448884
551,0.502849773234
552,0.484854702774
563,0.576796368732
566,0.481972869537
573,0.360993409567
576,0.527274676527
577,0.395281468963
579,0.596758580187
583,0.58774512607
595,0.396581823439
596,0.631086873302
598,0.586604347045
600,0.511618025671
603,0.550487993565
607,0.596993457114
608,0.44085383768
613,0.486392767949
614,0.566378196983
616,0.534274567805
618,0.599169600944
620,0.483837101416
623,0.566022792364
624,0.410032383056
628,0.53243164709
630,0.42739765264
